"project_acronym","project","main_researcher","institution","details_project","budget_project","date_start_project","date_end_project"
"0MSPIN","Spintronics based on relativistic phenomena in systems with zero magnetic moment","Tomáš Jungwirth","FYZIKALNI USTAV AV CR V.V.I","The 0MSPIN project consists of an extensive integrated theoretical, experimental and device development programme of research opening a radical new approach to spintronics. Spintronics has the potential to supersede existing storage and memory applications, and to provide alternatives to current CMOS technology. Ferromagnetic matels used in all current spintronics applications may make it impractical to realise the full potential of spintronics. Metals are unsuitable for transistor and information processing applications, for opto-electronics, or for high-density integration. The 0MSPIN project aims to remove the major road-block holding back the development of spintronics in a radical way: removing the ferromagnetic component from key active parts or from the whole of the spintronic devices. This approach is based on exploiting the combination of exchange and spin-orbit coupling phenomena and material systems with zero macroscopic moment. The goal of the 0MSPIN is to provide a new paradigm by which spintronics can enter the realms of conventional semiconductors in both fundamental condensed matter research and in information technologies. In the central part of the proposal, the research towards this goal is embedded within a materials science project whose aim is to introduce into physics and microelectronics an entirely new class of semiconductors. 0MSPIN seeks to exploit three classes of material systems: (1) Antiferromagnetic bi-metallic 3d-5d alloys (e.g. Mn2Au). (2) Antiferromagnetic I-II-V semiconductors (e.g. LiMnAs). (3) Non-magnetic spin-orbit coupled semiconductors with injected spin-polarized currents (e.g. 2D III-V structures). Proof of concept devices operating at high temperatures will be fabricated to show-case new functionalities offered by zero-moment systems for sensing and memory applications, information processing, and opto-electronics technologies.","1938000","2011-06-01","2016-05-31"
"14Constraint","Radiocarbon constraints for models of C cycling in terrestrial ecosystems: from process understanding to global benchmarking","Susan Trumbore","MAX-PLANCK-GESELLSCHAFT ZUR FORDERUNG DER WISSENSCHAFTEN EV","The overall goal of 14Constraint is to enhance the availability and use of radiocarbon data as constraints for process-based understanding of the age distribution of carbon in and respired by soils and ecosystems.  Carbon enters ecosystems by a single process, photosynthesis.  It returns by a range of processes that depend on plant allocation and turnover, the efficiency and rate of litter decomposition and the mechanisms stabilizing C in soils. Thus the age distribution of respired CO2 and the age of C residing in plants, litter and soils are diagnostic properties of ecosystems that provide key constraints for testing carbon cycle models.  Radiocarbon, especially the transit of ‘bomb’ 14C created in the 1960s, is a powerful tool for tracing C exchange on decadal to centennial timescales. 14Constraint will assemble a global database of existing radiocarbon data (WP1) and demonstrate how they can constrain and test ecosystem carbon cycle models.  WP2 will fill data gaps and add new data from sites in key biomes that have ancillary data sufficient to construct belowground C and 14C budgets.  These detailed investigations will focus on the role of time lags caused in necromass and fine roots, as well as the dynamics of deep soil C. Spatial extrapolation beyond the WP2 sites will require sampling along global gradients designed to explore the relative roles of mineralogy, vegetation and climate on the age of C in and respired from soil (WP3).  Products of this 14Constraint will include the first publicly available global synthesis of terrestrial 14C data, and will add over 5000 new measurements.  This project is urgently needed before atmospheric 14C levels decline to below 1950 levels as expected in the next decade.","2283747","2016-12-01","2021-11-30"
"1stProposal","An alternative development of analytic number theory and applications","ANDREW Granville","UNIVERSITY COLLEGE LONDON","The traditional (Riemann) approach to analytic number theory uses the zeros of zeta functions. This requires the associated multiplicative function, say f(n), to have special enough properties that the associated Dirichlet series may be analytically continued.  In this proposal we continue to develop an approach which requires less of the multiplicative function, linking the original question with the mean value of f.  Such techniques have been around for a long time but have generally been regarded as “ad hoc”. In this project we aim to show that one can develop a coherent approach to the whole subject, not only reproving all of the old results, but also many new ones that appear  inaccessible to traditional methods.

Our first goal is to complete a monograph yielding a reworking of all the classical theory using these new methods and then to push forward in new directions.  The most important is to extend these techniques to GL(n) L-functions, which we hope will now be feasible having found the correct framework in which to proceed.  Since we rarely know how to analytically continue such L-functions this could be of great benefit to the subject. 

We are developing the large sieve so that it can be used for individual moduli, and will determine a strong form of that. Also a new method to give asymptotics for mean values, when they are not too small.

We wish to incorporate techniques of analytic number theory into our theory, for example recent advances on mean values of Dirichlet polynomials.  Also the recent breakthroughs on the sieve suggest strong links  that need further exploration.

Additive combinatorics yields important results in many areas. There are strong analogies between its results, and those for multiplicative functions, especially in large value spectrum theory, and its applications. We hope to develop these further.
                   Much of this is joint work with K Soundararajan of Stanford University.","2011742","2015-08-01","2020-07-31"
"2DHIBSA","Nanoscopic and Hierachical Materials via Living Crystallization-Driven Self-Assembly","Ian MANNERS","UNIVERSITY OF BRISTOL","A key synthetic challenge of widespread interest in chemical science involves the creation of well-defined 2D functional materials that exist on a length-scale of nanometers to microns. In this ambitious 5 year proposal we aim to tackle this issue by exploiting the unique opportunities made possible by recent developments with the living crystallization-driven self-assembly (CDSA) platform. Using this solution processing approach, amphiphilic block copolymers (BCPs) with crystallizable blocks, related amphiphiles, and polymers with charged end groups will be used to predictably construct monodisperse samples of tailored, functional soft matter-based 2D nanostructures with controlled shape, size, and spatially-defined chemistries. Many of the resulting nanostructures will also offer unprecedented opportunities as precursors to materials with hierarchical structures through further solution-based “bottom-up” assembly methods. In addition to fundamental studies, the proposed work also aims to make important impact in the cutting-edge fields of liquid crystals, interface stabilization, catalysis, supramolecular polymers, and hierarchical materials.","2499597","2018-05-01","2023-04-30"
"2DNanoSpec","Nanoscale Vibrational Spectroscopy of Sensitive 2D Molecular Materials","Renato ZENOBI","EIDGENOESSISCHE TECHNISCHE HOCHSCHULE ZUERICH","I propose to investigate the nanometer scale organization of delicate 2-dimensional molecular materials using nanoscale vibrational spectroscopy. 2D structures are of great scientific and technological importance, for example as novel materials (graphene, MoS2, WS2, etc.), and in the form of biological membranes and synthetic 2D-polymers. Powerful methods for their analysis and imaging with molecular selectivity and sufficient spatial resolution, however, are lacking. Tip-enhanced Raman spectroscopy (TERS) allows label-free spectroscopic identification of molecular species, with ≈10 nm spatial resolution, and with single molecule sensitivity for strong Raman scatterers. So far, however, TERS is not being carried out in liquids, which is the natural environment for membranes, and its application to poor Raman scatterers such as components of 2D polymers, lipids, or other membrane compounds (proteins, sugars) is difficult. TERS has the potential to overcome the restrictions of other optical/spectroscopic methods to study 2D materials, namely (i) insufficient spatial resolution of diffraction-limited optical methods; (ii) the need for labelling for all methods relying on fluorescence; and (iii) the inability of some methods to work in liquids. I propose to address a number of scientific questions associated with the spatial organization, and the occurrence of defects in sensitive 2D molecular materials. The success of these studies will also rely critically on technical innovations of TERS that notably address the problem of energy dissipation. This will for the first time allow its application to study of complex, delicate 2D molecular systems without photochemical damage.","2311696","2017-09-01","2022-08-31"
"2G-CSAFE","Combustion of Sustainable Alternative Fuels for Engines used in aeronautics and automotives","Philippe Dagaut","CENTRE NATIONAL DE LA RECHERCHE SCIENTIFIQUE CNRS","This project aims at promoting sustainable combustion technologies for transport via validation of advanced combustion kinetic models obtained using sophisticated new laboratory experiments, engines, and theoretical computations, breaking through the current frontier of knowledge. It will focus on the unexplored kinetics of ignition and combustion of 2nd generation (2G) biofuels and blends with conventional fuels, which should provide energy safety and sustainability to Europe. The motivation is that no accurate kinetic models are available for the ignition, oxidation and combustion of 2G-biofuels, and improved ignition control is needed for new compression ignition engines. Crucial information is missing: data from well characterised experiments on combustion-generated pollutants and data on key-intermediates for fuels ignition in new engines.
To provide that knowledge new well-instrumented complementary experiments and kinetic modelling will be used. Measurements of key-intermediates, stables species, and pollutants will be performed. New ignition control strategies will be designed, opening new technological horizons. Kinetic modelling will be used for rationalising the results. Due to the complexity of 2G-biofuels and their unusual composition, innovative surrogates will be designed. Kinetic models for surrogate fuels will be generalised for extension to other compounds. The experimental results, together with ab-initio and detailed modelling, will serve to characterise the kinetics of ignition, combustion, and pollutants formation of fuels including 2G biofuels, and provide relevant data and models.
This research is risky because this is (i) the 1st effort to measure radicals by reactor/CRDS coupling, (ii) the 1st effort to use a μ-channel reactor to build ignition databases for conventional and bio-fuels, (iii) the 1st effort to design and use controlled generation and injection of reactive species to control ignition/combustion in compression ignition engines","2498450","2011-12-01","2016-11-30"
"3-TOP","Exploring the physics of 3-dimensional topological insulators","Laurens Wigbolt Molenkamp","JULIUS-MAXIMILIANS-UNIVERSITAT WURZBURG","Topological insulators constitute a novel class of materials where the topological details of the bulk band structure induce a robust surface state on the edges of the material. While transport data for 2-dimensional topological insulators have recently become available, experiments on their 3-dimensional counterparts are mainly limited to photoelectron spectroscopy. At the same time, a plethora of interesting novel physical phenomena have been predicted to occur in such systems.
In this proposal, we sketch an approach to tackle the transport and magnetic properties of the surface states in these materials. This starts with high quality layer growth, using molecular beam epitaxy, of bulk layers of HgTe, Bi2Se3 and Bi2Te3, which are the prime candidates to show the novel physics expected in this field. The existence of the relevant surface states will be assessed spectroscopically, but from there on research will focus on fabricating and characterizing nanostructures designed to elucidate the transport and magnetic properties of the topological surfaces using electrical, optical and scanning probe techniques. Apart from a general characterization of the Dirac band structure of the surface states, research will focus on the predicted magnetic monopole-like response of the system to an electrical test charge. In addition, much effort will be devoted to contacting the surface state with superconducting and magnetic top layers, with the final aim of demonstrating Majorana fermion behavior. As a final benefit, growth of thin high quality thin Bi2Se3 or Bi2Te3 layers could allow for a demonstration of the (2-dimensional) quantum spin Hall effect at room temperature - offering a road map to dissipation-less transport for the semiconductor industry.","2419590","2011-04-01","2016-03-31"
"3D-E","3D Engineered Environments for Regenerative Medicine","Ruth Elizabeth Cameron","THE CHANCELLOR MASTERS AND SCHOLARS OF THE UNIVERSITY OF CAMBRIDGE","""This proposal develops a unified, underpinning technology to create novel, complex and biomimetic 3D environments for the control of tissue growth.  As director of Cambridge Centre for Medical Materials, I have recently been approached by medical colleagues to help to solve important problems in the separate therapeutic areas of breast cancer, cardiac disease and blood disorders.  In each case, the solution lies in complex 3D engineered environments for cell culture.  These colleagues make it clear that existing 3D scaffolds fail to provide the required complex orientational and spatial anisotropy, and are limited in their ability to impart appropriate biochemical and mechanical cues.

I have a strong track record in this area.  A particular success has been the use of a freeze drying technology to make collagen based porous implants for the cartilage-bone interface in the knee, which has now been commercialised.  The novelty of this proposal lies in the broadening of the established scientific base of this technology to enable biomacromolecular structures with:
(A) controlled and complex pore orientation to mimic many normal multi-oriented tissue structures
(B) compositional and positional control to match varying local biochemical environments,
(C) the attachment of novel peptides designed to control cell behaviour, and
(D) mechanical control at both a local and macroscopic level to provide mechanical cues for cells.
These will be complemented by the development of
(E) robust characterisation methodologies for the structures created.
These advances will then be employed in each of the medical areas above.

This approach is highly interdisciplinary.  Existing working relationships with experts in each medical field will guarantee expertise and licensed facilities in the required biological disciplines. Funds for this proposal would therefore establish a rich hub of mutually beneficial research and opportunities for cross-disciplinary sharing of expertise.""","2486267","2013-04-01","2018-03-31"
"3DIMAGE","3D Imaging Across Lengthscales: From Atoms to Grains","Paul Anthony Midgley","THE CHANCELLOR MASTERS AND SCHOLARS OF THE UNIVERSITY OF CAMBRIDGE","""Understanding structure-property relationships across lengthscales is key to the design of functional and structural materials and devices. Moreover, the complexity of modern devices extends to three dimensions and as such 3D characterization is required across those lengthscales to provide a complete understanding and enable improvement in the material’s physical and chemical behaviour. 3D imaging and analysis from the atomic scale through to granular microstructure is proposed through the development of electron tomography using (S)TEM, and ‘dual beam’ SEM-FIB, techniques offering complementary approaches to 3D imaging across lengthscales stretching over 5 orders of magnitude.

We propose to extend tomography to include novel methods to determine atom positions in 3D with approaches incorporating new reconstruction algorithms, image processing  and complementary nano-diffraction techniques. At the nanoscale, true 3D nano-metrology of morphology and composition is a key objective of the project, minimizing reconstruction and visualization artefacts. Mapping strain and optical properties in 3D are ambitious and exciting challenges that will yield new information at the nanoscale. Using the SEM-FIB, 3D ‘mesoscale’ structures will be revealed: morphology, crystallography and composition can be mapped simultaneously, with ~5nm resolution and over volumes too large to tackle by (S)TEM and too small for most x-ray techniques. In parallel, we will apply 3D imaging to a wide variety of key materials including heterogeneous catalysts, aerospace alloys, biomaterials, photovoltaic materials, and novel semiconductors.

We will collaborate with many departments in Cambridge and institutes worldwide. The personnel on the proposal will cover all aspects of the tomography proposed using high-end TEMs, including an aberration-corrected Titan, and a Helios dual beam. Importantly, a postdoc is dedicated to developing new algorithms for reconstruction, image and spectral processing.""","2337330","2012-01-01","2017-12-31"
"3DNANOMECH","Three-dimensional molecular resolution mapping of soft matter-liquid interfaces","Ricardo Garcia","AGENCIA ESTATAL CONSEJO SUPERIOR DEINVESTIGACIONES CIENTIFICAS","Optical, electron and probe microscopes are enabling tools for discoveries and knowledge generation in nanoscale sicence and technology. High resolution –nanoscale or molecular-, noninvasive and label-free imaging of three-dimensional soft matter-liquid interfaces has not been achieved by any microscopy method.
Force microscopy (AFM) is considered the second most relevant advance in materials science since 1960. Despite its impressive range of applications, the technique has some key limitations. Force microscopy has not three dimensional  depth. What lies above or in the subsurface is not readily characterized.

3DNanoMech proposes to design, build and operate a high speed force-based method for the three-dimensional characterization soft matter-liquid interfaces (3D AFM).  The microscope will combine a detection method based on force perturbations, adaptive algorithms,  high speed piezo actuators and quantitative-oriented multifrequency approaches. The development of the microscope cannot be separated from its applications:  imaging the error-free DNA repair and to understand the relationship existing between the nanomechanical properties and the malignancy of cancer cells. Those problems encompass the different spatial –molecular-nano-mesoscopic- and time –milli to seconds- scales of the instrument.

In short, 3DNanoMech aims to image, map and measure with picoNewton, millisecond and angstrom resolution soft matter surfaces and interfaces in liquid. The long-term vision of 3DNanoMech is to replace models or computer animations  of bimolecular-liquid interfaces by real time, molecular resolution maps of properties and processes.","2499928","2014-02-01","2019-01-31"
