"project_acronym","project","main_researcher","institution","details_project","budget_project","date_start_project","date_end_project"
"DNA ORIGAMI MOTORS","Constructing and powering nanoscale DNA origami motors","Hendrik DIETZ","TECHNISCHE UNIVERSITAET MUENCHEN","Our goal is to advance the field of DNA nanotechnology by achieving directed transport on the nanoscale using robustly functioning synthetic motor units. To do so, we propose to construct spatially periodic, diffusive mechanisms that have broken inversion symmetry and to subject these mechanisms to conditions away from thermal equilibrium. We will build on recent progress in creating complex DNA-based structures and construct various nanoscale rotary and translational Brownian ratchet mechanisms that have well- defined degrees of freedom for motion within periodic and asymmetric energy landscapes. The mechanisms will be self-assembled from DNA origami components. We will use cryo-Transmission Electron Microscopy (TEM) to evaluate and iteratively refine our structures. Conventional video-rate fluorescence microscopy, in addition to super-resolution microscopy, will be employed to study in solution and in real time the diffusive motion of the mechanisms on the single particle level. We will introduce various deterministic or stochastic thermal, mechanical, or chemical perturbations to drive the systems away from thermal equilibrium. We will use laser heating and cooling to experimentally test thermal and flashing ratcheting mechanisms; we will employ dissipative asymmetric fluxes arising in active matter as realized in high-density ATP-hydrolysing motility assays; and we will couple out-of-equilibrium chemical reactions to the motion of our mechanisms. The ultimate goal of our work is to take insights from these experiments and create robustly functioning nanoscale motor units that can drive directed motion against external load and perform at levels comparable to those of natural macromolecular motor proteins. Achieving this goal will create unprecedented technological opportunities, for example, to drive chemical synthesis, actively propel nanoscale drug- delivery vehicles, pump and separate molecules across barriers or package molecules into cargo components.","2000000","2017-05-01","2022-04-30"
"DNAFOLDIMS","Advanced mass spectrometry approaches to reveal nucleic acid folding energy landscapes","Valérie Gabelica","INSTITUT NATIONAL DE LA SANTE ET DE LA RECHERCHE MEDICALE","""50 years after the discovery of the DNA double helix, the variety of structures that nucleic acids can adopt continues to surprise the scientific community. Specific structures and conformational changes are linked to important functions in cell regulation. Understanding the principles that govern how small molecules such as natural metabolites or synthetic drugs modulate the nucleic acid structures is of prime importance for molecular biology and pharmacology. The field however suffers from the lack of suitable experimental tools to monitor all assemblies and structures formed when a small molecule encounters its targets.

The goal of my project is to develop unique mass spectrometry-based approaches to detect, quantify and characterize all these assemblies and structures. Our team’s strength will be to integrate a multidisciplinary approach, from physical and analytical chemistry to molecular biology. We will address the fundamentals of nucleic acid ionization and transfer in the gas phase, develop a unique instrumental setup combining mass spectrometry, ion mobility and circular dichroism ion spectroscopy, and apply these new approaches to biologically important nucleic acids, in order to reveal the mechanisms of ligand-induced conformational changes in important regulatory structures such as G-quadruplex or riboswitches.

This research will also have broader impact, as the approaches and concepts developed here for nucleic acids will contribute fundamental advances in mass spectrometry, and will be transferrable to other supramolecular or biological complexes.""","2021755","2014-06-01","2019-05-31"
"DOiCV","Discrete Optimization in Computer Vision: Theory and Practice","Vladimir Kolmogorov","INSTITUTE OF SCIENCE AND TECHNOLOGYAUSTRIA","This proposal aims at developing new inference algorithms for graphical models with discrete variables, with a focus on the MAP estimation task. MAP estimation algorithms such as graph cuts have transformed computer vision in the last decade; they are now routinely used and are also utilized in commercial systems.
Topics of this project fall into 3 categories.
Theoretically-oriented: Graph cut techniques come from combinatorial optimization. They can minimize a certain class of functions, namely submodular functions with unary and pairwise terms. Larger classes of functions can be minimized in polynomial time. A complete characterization of such classes has been established. They include k-submodular functions for an integer k _ 1.
I investigate whether such tools from discrete optimization can lead to more efficient inference algorithms for practical problems. I have already found an important application of k-submodular functions for minimizing Potts energy functions that are frequently used in computer vision. The concept of submodularity also recently appeared in the context of the task of computing marginals in graphical models, here discrete optimization tools could be used.
Practically-oriented: Modern techniques such as graph cuts and tree-reweighted message passing give excellent results for some graphical models such as with the Potts energies. However, they fail for more complicated models. I aim to develop new tools for tackling such hard energies. This will include exploring tighter convex relaxations of the problem.
Applications, sequence tagging problems: Recently, we developed new algorithms for inference in pattern-based Conditional Random Fields (CRFs) on a chain. This model can naturally be applied to sequence tagging problems; it generalizes the popular CRF model by giving it more flexibility. I will investigate (i) applications to specific tasks, such as the protein secondary structure prediction, and (ii) ways to extend the model.","1641585","2014-06-01","2019-05-31"
"DOQS","Many-Body Physics with Driven Open Quantum Systems of Atoms, Light and Solids","Sebastian Ludwig Diehl","UNIVERSITAET ZU KOELN","Understanding the quantum many-particle problem is one of the grand challenges of modern physics. While tremendous progresses have been made over the past decades in thermodynamic equilibrium, nonequilibrium many-body quantum physics is still in its infancy. Strong motivation for addressing this challenge comes from recent experimental developments in diverse areas, ranging from cold atomic gases over light-driven semiconductors to microcavity arrays. This moves systems into the focus, which are located on the interface of quantum optics, many-body physics and statistical mechanics. They share in common that coherent and driven-dissipative quantum dynamics occur on an equal footing, creating scenarios without immediate counterpart in traditional condensed matter systems. This project has the goal of pushing forward the understanding of such driven open quantum systems. To this end, we follow a combined approach structured around three key challenges. (i) We aim to identify novel macroscopic phenomena, which manifestly witness microscopic non-equilibrium conditions. This concerns non-thermal stationary states, where we will shape an understanding of non-equilibrium phase diagrams and the associated phase transitions, in particular constructing a notion of driven quantum criticality. But it also encompasses the identification of new universal regimes in open system time evolution. Finally, we will extend the concept of topological order to a broader non-equilibrium context, motivated by quantum information applications. (ii) We will create new theoretical tools, in particular advancing a flexible Keldysh dynamical quantum field theory for driven open quantum systems. (iii) We will address a broad spectrum of cutting edge experimental platforms in view of exploring our theoretical scenarios, and to foster mutual cross-fertilization. With an emphasis on cold atomic gases, this program also comprises exciton-polariton condensates and coupled circuit QED architectures.","1676424","2016-02-01","2021-01-31"
"DROUGHT-HEAT","Land-Climate Interactions: Constraints for Droughts and Heatwaves in a Changing Climate","Sonia Isabelle Seneviratne","EIDGENOESSISCHE TECHNISCHE HOCHSCHULE ZUERICH","""Land-climate interactions mediated through soil moisture and vegetation play a critical role in the climate system, in particular for the occurrence of extreme events such as droughts and heatwaves. They are, however, poorly constrained in current Earth System Models (ESMs), leading to large uncertainties in climate projections. These uncertainties affect the quality and accuracy of projections of temperature, water availability, and carbon concentrations, as well as that of projected impacts on agriculture, ecosystems, and health.

In the past years, in-situ and remote sensing-based datasets of soil moisture, evapotranspiration, and energy and carbon fluxes have become increasingly available, providing untapped potential for reducing associated uncertainties in current climate models. The DROUGHT-HEAT project aims at innovatively exploiting these new information sources in order to 1) derive observations-based diagnostics to quantify and isolate the role of land-climate interactions in past extreme events (""""Diagnostic Atlas""""), 2) evaluate and improve current ESMs and constrain climate-change projections using the derived diagnostics, and 3) apply the newly gained knowledge to frontier developments in the attribution of climate extremes to land processes and their mitigation through """"land geoengineering"""".

The DROUGHT-HEAT project integrates the newest land observational datasets with the latest stream of ESMs. Novel methodologies will be applied to extract functional relationships from the data, and identify key gaps in the ESMs' representation of underlying processes. These will build on physically-based relationships, machine learning tools, and model calibration. In addition, they will encompass the mapping and merging of derived diagnostics in space and time to reduce """"blank spaces"""" in the datasets. The project is unprecedented in its breadth and scope and will allow a major breakthrough in our understanding of the processes leading to heatwaves and droughts.""","1952285","2014-09-01","2019-08-31"
"DUALITY","Theoretical Foundations of Memory Micro-Insertions in Wireless Communications","Petros ELIA","EURECOM","We propose to develop the theoretical foundations of transforming memory into data rates, and to explore their practical ramifications in wireless communication networks.

Motivated by the long-lasting open challenge to invent a communication technology that scales with the network size, we have recently discovered early indications of how preemptive use of distributed data-storage at the receiving communication nodes (well before transmission), can offer unprecedented throughput gains by surprisingly bypassing the dreaded bottleneck of real-time channel-feedback. For an exploratory downlink configuration, we unearthed a hidden duality between feedback and preemptive use of memory, which managed to doubly-exponentially reduce the needed memory size, and consequently offered unbounded throughput gains compared to all existing solutions with the same resources. This was surprising because feedback and memory were thought to be mostly disconnected; one is used on the wireless PHY layer, the other on the wired MAC.

This development prompts our key scientific challenge which is to pursue the mathematical convergence between feedback-information-theory and preemptive distributed data-storage, and to then design ultra-fast memory-aided communication algorithms that pass real-life testing.
This is a structurally new approach, which promises to reveal deep links between feedback information theory and memory, for a variety of envisioned wireless-network architectures of exceptional promise. In doing so, our new proposed theory stands to identify the basic principles of how a splash of memory can surgically alter the informational-structure of these networks, rendering them faster, simpler and more efficient. In the end, this study has the potential to directly translate the continuously increasing data-storage capabilities, into gains of wireless network capacity, and to ultimately avert the looming network-overload caused by these same indefinite increases of data volumes.","1978778","2017-04-01","2022-03-31"
"DURACELL","Cell Migration under Mechanical Constraints","Benoît Ladoux","UNIVERSITE PARIS DIDEROT - PARIS 7","Control of cell migration is crucial for many biological processes. Cells sense mechanical cues to guide their migration. As opposed to passive materials, living cells actively respond to the mechanical stimuli of their environment through the transduction of mechanical information into biochemical signaling events. These responses, particularly to rigidity, include differentiation, migration and alterations in cell-matrix and cell-cell adhesion and thus occur over a wide range of time and length scales. I propose to address the effect of substrate mechanical properties on cell migration using quantitative in vitro methods based on micro-fabrication and micro-mechanical techniques. My main objectives are to:
1/ Discover specific mechanisms that guide single cells toward stiffer substrates (a process known as durotaxis), investigate the range of stiffness-sensitive responses and determine the molecular mechanisms based on actin dynamics and cell adhesion assembly. 2/ Characterize the emergence of coordinated cell movements and thus how cells move in concert under external mechanical constraints. In addition to cell-substrate interactions, the role of cell-cell junctions is crucial in the transmission of mechanical signals over the cell population. By analyzing tissue dynamics at both mesoscopic and molecular scales, we hope to unravel how epithelial cell sheets mechanically integrate multiple adhesive cues to drive collective cell migration.3/ Elucidate the role of 3D mechanical environments in collective cell migration. In contrast to migration in 2D, cells in 3D must overcome the biophysical resistance of their surrounding milieu. Based on optical and innovative micro-fabrication techniques to modify the stiffness of 3D scaffolds, we will study its influence on cell migration modes and invasion. The goal of this interdisciplinary project is to understand how cells integrate mechanical adhesive signals to adapt their internal organization and ensure tissue integrity","1762734","2014-06-01","2019-05-31"
"DYNACQM","Dynamics of Correlated Quantum Matter: From Dynamical Probes to Novel Phases of Matter","Frank POLLMANN","TECHNISCHE UNIVERSITAET MUENCHEN","The interplay of quantum fluctuations and correlation effects in condensed matter can yield emergent phases with fascinating properties. Understanding these challenging quantum-many body systems is a problem of central importance in theoretical physics and the basis for the development of new materials for future technologies. Dynamical properties can provide characteristic fingerprints that allow to identify novel phases in newly synthesized materials and optical lattice systems. Moreover, when brought out of equilibrium, correlated quantum matter can exhibit dynamical phases that cannot occur in equilibrium settings. 

DYNACQM will develop new theoretical and numerical frameworks to study dynamical properties of correlated quantum matter. On the theoretical side, we will investigate how many-body entanglement affects dynamical properties and predict universal features that can be measured in experiments. For example, dynamical spin correlation functions, measured in neutron scattering experiments, provide signatures of topologically ordered spin liquids. Furthermore, we will study the role of disorder and many-body localization in static as well as in driven quantum systems. On the numerical side, we will develop efficient tensor-product state based algorithms to simulate the dynamics of quantum many-body systems. These will allow us to study realistic microscopic model systems and to understand their dynamical properties.

Recent developments in the creation of synthetic quantum systems and advances in high resolution spectroscopy allow for an unprecedented precision with which the dynamics of quantum systems can be studied and manipulated experimentally. In this light, it is particularly important to theoretically understand the dynamics of correlated quantum systems and to make testable predictions. DYNACQM will bridge between the fundamental understanding of many-body entanglement in correlated quantum matter and experiments.","1998750","2018-06-01","2023-05-31"
"DYNAFLUORS","Dynamic Activatable Fluorophores","Marc VENDRELL ESCOBAR","THE UNIVERSITY OF EDINBURGH","In DYNAFLUORS I will develop the first chemical toolbox for imaging in real time the activity of immune cells in tumours.
Although the management of cancer has improved over the years, the cure rates for patients with metastasis and advanced tumours remain low due to lack of appropriate therapies. Recent studies suggest that drugs empowering host immune cells (i.e. immunotherapies) are promising approaches for intractable tumours. However, there are no tools to visualise and understand how host immune cells stop cancer progression in vivo. This important unmet challenge drives the ambitious targets of this proposal.

Over the past 10 years, I have pioneered the development of chemical fluorophores that allow unparalleled analysis of biological systems. In this project, I will implement an innovative approach to unify cutting-edge methodologies in chemistry and biology and develop Dynamic Activatable Fluorophores (DYNAFLUORS) as a chemical toolbox with enhanced imaging capabilities over current technologies. 

The cross-disciplinary and ambitious nature of this project will open multiple avenues for broad impact in many areas of chemistry as well as in basic biology, imaging and medicine. DYNAFLUORS will allow us to image, from the molecular level to human tissue, the activity of immune cells in tumours and the response to therapy in real time. This ground-breaking chemical platform will represent a step forward in the forefront of chemical imaging and will create new opportunities in the personalised management of cancer.

In the long term, DYNAFLUORS will become a transformative toolbox for monitoring disease in humans. The integration of functional fluorophores into imaging technologies to perform ‘optical biopsies’ in vivo and to create patient-specific drug-response assays has the potential to revolutionise the diagnosis, stratification and personalised treatment of disease.","1986650","2018-06-01","2023-05-31"
"DYNAMO","Energy and charge transfer nonadiabatic dynamics in light-harvesting molecules and nanostructures","Roland Mitric","JULIUS-MAXIMILIANS UNIVERSITAET WUERZBURG","The goal of DYNAMO is to develop an efficient mixed quantum-classical methodology for the simulation of light-induced nonadiabatic processes in multichromophoric light-harvesting assemblies and to apply it to explore energy and charge transport dynamics in novel classes of light-harvesting systems. There is growing evidence that nonadiabatic relaxation processes play a fundamental role in determining the efficiency of the excitonic transfer or charge injection. In addition to the intramolecular nonradiative transitions through conical intersections, well known from photochemistry, the coupling between the chromophores in multichromophoric assemblies gives rise to novel intermolecular nonadiabatic relaxation channels through funnels between the delocalized excitonic and/or charge transfer states. In order to simulate coupled electron-nuclear dynamics in multichromophoric nanostructures we will develop and implement light-induced surface hopping methods and combine them with efficient electronic structure methods. For a unified description of excitonic and charge transfer states we will combine constrained density functional theory (CDFT) and linear response time-resolved density functional theory (TDDFT) within the configuration interaction framework. The direct link with the experiment will be provided through the simulation of time-resolved multidimensional spectra in the mixed quantum-classical framework. We will apply the new methodology to investigate energy and charge transport in nanostructures of self-assembled organic molecules (e.g. tubular J-aggregates), in low band-gap organic polymers (e.g. squaraines) and in hybrid plasmon-exciton architectures, where the photon capture and charge injection efficiency can be enhanced by the interaction with plasmonic fields. The ultimate goal is to reveal mechanisms of efficient energy and charge transfer using a first principles methodology, providing guidance for the design of efficient light-harvesting systems.","1501188","2015-06-01","2020-05-31"
