"project_acronym","project","main_researcher","institution","details_project","budget_project","date_start_project","date_end_project"
"1D-Engine","1D-electrons coupled to dissipation: a novel approach for understanding and engineering superconducting materials and devices","Adrian KANTIAN","UPPSALA UNIVERSITET","Correlated electrons are at the forefront of condensed matter theory. Interacting quasi-1D electrons have seen vast progress in analytical and numerical theory, and thus in fundamental understanding and quantitative prediction. Yet, in the 1D limit fluctuations preclude important technological use, particularly of superconductors. In contrast, high-Tc superconductors in 2D/3D are not precluded by fluctuations, but lack a fundamental theory, making prediction and engineering of their properties, a major goal in physics, very difficult. This project aims to combine the advantages of both areas by making major progress in the theory of quasi-1D electrons coupled to an electron bath, in part building on recent breakthroughs (with the PIs extensive involvement) in simulating 1D and 2D electrons with parallelized density matrix renormalization group (pDMRG) numerics. Such theory will fundamentally advance the study of open electron systems, and show how to use 1D materials as elements of new superconducting (SC) devices and materials: 1) It will enable a new state of matter, 1D electrons with true SC order. Fluctuations from the electronic liquid, such as graphene, could also enable nanoscale wires to appear SC at high temperatures. 2) A new approach for the deliberate engineering of a high-Tc superconductor. In 1D, how electrons pair by repulsive interactions is understood and can be predicted. Stabilization by reservoir - formed by a parallel array of many such 1D systems - offers a superconductor for which all factors setting Tc are known and can be optimized. 3) Many existing superconductors with repulsive electron pairing, all presently not understood, can be cast as 1D electrons coupled to a bath. Developing chain-DMFT theory based on pDMRG will allow these materials SC properties to be simulated and understood for the first time. 4) The insights gained will be translated to 2D superconductors to study how they could be enhanced by contact with electronic liquids.","1491013","2018-10-01","2023-09-30"
"1st-principles-discs","A First Principles Approach to Accretion Discs","Martin Elias Pessah","KOBENHAVNS UNIVERSITET","Most celestial bodies, from planets, to stars, to black holes; gain mass during their lives by means of an accretion disc. Understanding the physical processes that determine the rate at which matter accretes and energy is radiated in these discs is vital for unraveling the formation, evolution, and fate of almost every type of object in the Universe. Despite the fact that magnetic fields have been known to be crucial in accretion discs since the early 90’s, the majority of astrophysical questions that depend on the details of how disc accretion proceeds are still being addressed using the “standard” accretion disc model (developed in the early 70’s), where magnetic fields do not play an explicit role. This has prevented us from fully exploring the astrophysical consequences and observational signatures of realistic accretion disc models, leading to a profound disconnect between observations (usually interpreted with the standard paradigm) and modern accretion disc theory and numerical simulations (where magnetic turbulence is crucial). The goal of this proposal is to use several complementary approaches in order to finally move beyond the standard paradigm. This program has two main objectives: 1) Develop the theoretical framework to incorporate magnetic fields, and the ensuing turbulence, into self-consistent accretion disc models, and investigate their observational implications. 2) Investigate transport and radiative processes in collision-less disc regions, where non-thermal radiation originates, by employing a kinetic particle description of the plasma. In order to achieve these goals, we will use, and build upon, state-of-the-art magnetohydrodynamic and particle-in-cell codes in conjunction with theoretical modeling. This framework will make it possible to address fundamental questions on stellar and planet formation, binary systems with a compact object, and supermassive black hole feedback in a way that has no counterpart within the standard paradigm.","1793697","2013-02-01","2018-01-31"
"2-3-AUT","Surfaces, 3-manifolds and automorphism groups","Nathalie Wahl","KOBENHAVNS UNIVERSITET","The scientific goal of the proposal is to answer central questions related to diffeomorphism groups of manifolds of dimension 2 and 3, and to their deformation invariant analogs, the mapping class groups. While the classification of surfaces has been known for more than a century, their automorphism groups have yet to be fully understood. Even less is known about diffeomorphisms of 3-manifolds despite much interest, and the objects here have only been classified recently, by the breakthrough work of Perelman on the Poincar\&apos;e and geometrization conjectures. In dimension 2, I will focus on the relationship between mapping class groups and topological conformal field theories, with applications to Hochschild homology. In dimension 3, I propose to compute the stable homology of classifying spaces of diffeomorphism groups and mapping class groups, as well as study the homotopy type of the space of diffeomorphisms. I propose moreover to establish homological stability theorems in the wider context of automorphism groups and more general families of groups. The project combines breakthrough methods from homotopy theory with methods from differential and geometric topology. The research team will consist of 3 PhD students, and 4 postdocs, which I will lead.","724992","2009-11-01","2014-10-31"
"2D-4-CO2","DESIGNING 2D NANOSHEETS FOR CO2 REDUCTION AND INTEGRATION INTO vdW HETEROSTRUCTURES FOR ARTIFICIAL PHOTOSYNTHESIS","Damien VOIRY","CENTRE NATIONAL DE LA RECHERCHE SCIENTIFIQUE CNRS","CO2 reduction reaction (CO2RR) holds great promise for conversion of the green-house gas carbon dioxide into chemical fuels. The absence of catalytic materials demonstrating high performance and high selectivity currently hampers practical demonstration. CO2RR is also limited by the low solubility of CO2 in the electrolyte solution and therefore electrocatalytic reactions in gas phase using gas diffusion electrodes would be preferred. 2D materials have recently emerged as a novel class of electrocatalytic materials thanks to their rich structures and electronic properties. The synthesis of novel 2D catalysts and their implementation into photocatalytic systems would be a major step towards the development of devices for storing solar energy in the form of chemical fuels. With 2D-4-CO2, I propose to: 1) develop novel class of CO2RR catalysts based on conducting 2D nanosheets and 2) demonstrate photocatalytic conversion of CO2 into chemical fuels using structure engineered gas diffusion electrodes made of 2D conducting catalysts. To reach this goal, the first objective of 2D-4-CO2 is to provide guidelines for the development of novel cutting-edge 2D catalysts towards CO2 conversion into chemical fuel. This will be possible by using a multidisciplinary approach based on 2D materials engineering, advanced methods of characterization and novel designs of gas diffusion electrodes for the reduction of CO2 in gas phase. The second objective is to develop practical photocatalytic systems using van der Waals (vdW) heterostructures for the efficient conversion of CO2 into chemical fuels. vdW heterostructures will consist in rational designs of 2D materials and 2D-like materials deposited by atomic layer deposition in order to achieve highly efficient light conversion and prolonged stability. This project will not only enable a deeper understanding of the CO2RR but it will also provide practical strategies for large-scale application of CO2RR for solar fuel production.","1499931","2019-01-01","2023-12-31"
"2D-PnictoChem","Chemistry and Interface Control of Novel 2D-Pnictogen Nanomaterials","Gonzalo ABELLAN SAEZ","UNIVERSITAT DE VALENCIA","2D-PnictoChem aims at exploring the Chemistry of a novel class of graphene-like 2D layered
elemental materials of group 15, the pnictogens: P, As, Sb, and Bi. In the last few years, these materials
have taken the field of Materials Science by storm since they can outperform and/or complement graphene
properties. Their strongly layer-dependent unique properties range from semiconducting to metallic,
including high carrier mobilities, tunable bandgaps, strong spin-orbit coupling or transparency. However,
the Chemistry of pnictogens is still in its infancy, remaining largely unexplored. This is the niche that
2D-PnictoChem aims to fill. By mastering the interface chemistry, we will develop the assembly of 2Dpnictogens
in complex hybrid heterostructures for the first time. Success will rely on a cross-disciplinary
approach combining both Inorganic- and Organic Chemistry with Solid-state Physics, including: 1)
Synthetizing and exfoliating high quality ultra-thin layer pnictogens, providing reliable access down to
the monolayer limit. 2) Achieving their chemical functionalization via both non-covalent and covalent
approaches in order to tailor at will their properties, decipher reactivity patterns and enable controlled
doping avenues. 3) Developing hybrid architectures through a precise chemical control of the interface,
in order to promote unprecedented access to novel heterostructures. 4) Exploring novel applications
concepts achieving outstanding performances. These are all priorities in the European Union agenda
aimed at securing an affordable, clean energy future by developing more efficient hybrid systems for
batteries, electronic devices or applications in catalysis. The opportunity is unique to reduce Europe’s
dependence on external technology and the PI’s background is ideally suited to tackle these objectives,
counting as well on a multidisciplinary team of international collaborators.","1499419","2018-11-01","2023-10-31"
"2D-TOPSENSE","Tunable optoelectronic devices by strain engineering of 2D semiconductors","Andres CASTELLANOS","AGENCIA ESTATAL CONSEJO SUPERIOR DEINVESTIGACIONES CIENTIFICAS","The goal of 2D-TOPSENSE is to exploit the remarkable stretchability of two-dimensional semiconductors to fabricate optoelectronic devices where strain is used as an external knob to tune their properties.

While bulk semiconductors tend to break under strains larger than 1.5%, 2D semiconductors (such as MoS2) can withstand deformations of up to 10-20% before rupture. This large breaking strength promises a great potential of 2D semiconductors as ‘straintronic’ materials, whose properties can be adjusted by applying a deformation to their lattice. In fact, recent theoretical works predicted an interesting physical phenomenon: a tensile strain-induced semiconductor-to-metal transition in 2D semiconductors. By tensioning single-layer MoS2 from 0% up to 10%, its electronic band structure is expected to undergo a continuous transition from a wide direct band-gap of 1.8 eV to a metallic behavior. This unprecedented large strain-tunability will undoubtedly have a strong impact in a wide range of optoelectronic applications such as photodetectors whose cut-off wavelength is tuned by varying the applied strain or atomically thin light modulators. 

To date, experimental works on strain engineering have been mostly focused on fundamental studies, demonstrating part of the potential of 2D semiconductors in straintronics, but they have failed to exploit strain engineering to add extra functionalities to optoelectronic devices. In 2D-TOPSENSE I will go beyond the state of the art in straintronics by designing and fabricating optoelectronic devices whose properties and performance can be tuned by means of applying strain. 2D-TOPSENSE will focus on photodetectors with a tunable bandwidth and detectivity, light emitting devices whose emission wavelength can be adjusted, light modulators based on 2D semiconductors such as transition metal dichalcogenides or black phosphorus and solar funnels capable of directing the photogenerated charge carriers towards a specific position.","1930437","2018-03-01","2023-02-28"
"2DMATER","Controlled Synthesis of Two-Dimensional Nanomaterials for Energy Storage and Conversion","Xinliang Feng","TECHNISCHE UNIVERSITAET DRESDEN","""Two-dimensional (2D) nanosheets, which possess a high degree of anisotropy with nanoscale thickness and infinite length in other dimensions, hold enormous promise as a novel class of ultrathin 2D nanomaterials with various unique functionalities and properties, and exhibit great potential in energy storage and conversion systems that are substantially different from their respective 3D bulk forms. Here I propose a strategy for the synthesis and processing of various 2D nanosheets across a broad range of inorganic, organic and polymeric materials with molecular-level or thin thickness through both the top-down exfoliation of layered materials and the bottom-up assembly of available molecular building blocks. Further, I aim to develop the synthesis of various 2D-nanosheet based composite materials with thickness of less than 100 nm and the assembly of 2D nanosheets into novel hierarchal superstrucutures (like aerogels, spheres, porous particles, nanotubes, multi-layer films). The structural features of these 2D nanomaterials will be controllably tailored by both the used layered precursors and processing methodologies. The consequence is that I will apply and combine defined functional components as well as assembly protocols to create novel 2D nanomaterials for specific purposes in energy storage and conversion systems. Their unique characters will include the good electrical conductivity, excellent mechanical flexibility, high surface area, high chemical stability, fast electron transport and ion diffusion etc. Applications will be mainly demonstrated for the construction of lithium ion batteries (anode and cathode), supercapacitors (symmetric and asymmetric) and fuel cells. As the key achievements, I expect to establish the delineation of reliable structure-property relationships and improved device performance of 2D nanomaterials.""","1500000","2012-09-01","2017-08-31"
"2DNANOCAPS","Next Generation of 2D-Nanomaterials: Enabling Supercapacitor Development","Valeria Nicolosi","THE PROVOST, FELLOWS, FOUNDATION SCHOLARS & THE OTHER MEMBERS OF BOARD OF THE COLLEGE OF THE HOLY & UNDIVIDED TRINITY OF QUEEN ELIZABETH NEAR DUBLIN","Climate change and the decreasing availability of fossil fuels require society to move towards sustainable and renewable resources. 2DNanoCaps will focus on electrochemical energy storage, specifically supercapacitors. In terms of performance supercapacitors fill up the gap between batteries and the classical capacitors. Whereas batteries possess a high energy density but low power density, supercapacitors possess high power density but low energy density. Efforts are currently dedicated to move supercapacitors towards high energy density and high power density performance. Improvements have been achieved in the last few years due to the use of new electrode nanomaterials and the design of new hybrid faradic/capacitive systems. We recognize, however, that we are reaching a newer limit beyond which we will only see small incremental improvements. The main reason for this being the intrinsic difficulty in handling and processing materials at the nano-scale and the lack of communication across different scientific disciplines. I plan to use a multidisciplinary approach, where novel nanomaterials, existing knowledge on nano-scale processing and established expertise in device fabrication and testing will be brought together to focus on creating more efficient supercapacitor technologies. 2DNanoCaps will exploit liquid phase exfoliated two-dimensional nanomaterials such as transition metal oxides, layered metal chalcogenides and graphene as electrode materials. Electrodes will be ultra-thin (capacitance and thickness of the electrodes are inversely proportional), conductive, with high dielectric constants. Intercalation of ions between the assembled 2D flakes will be also achievable, providing pseudo-capacitance. The research here proposed will be initially based on fundamental laboratory studies, recognising that this holds the key to achieving step-change in supercapacitors, but also includes scaling-up and hybridisation as final objectives.","1501296","2011-10-01","2016-09-30"
"2DNANOPTICA","Nano-optics on flatland: from quantum nanotechnology to nano-bio-photonics","Pablo Alonso-González","UNIVERSIDAD DE OVIEDO","Ubiquitous in nature, light-matter interactions are of fundamental importance in science and all optical technologies. Understanding and controlling them has been a long-pursued objective in modern physics. However, so far, related experiments have relied on traditional optical schemes where, owing to the classical diffraction limit, control of optical fields to length scales below the wavelength of light is prevented. Importantly, this limitation impedes to exploit the extraordinary fundamental and scaling potentials of nanoscience and nanotechnology. A solution to concentrate optical fields into sub-diffracting volumes is the excitation of surface polaritons –coupled excitations of photons and mobile/bound charges in metals/polar materials (plasmons/phonons)-. However, their initial promises have been hindered by either strong optical losses or lack of electrical control in metals, and difficulties to fabricate high optical quality nanostructures in polar materials. 
With the advent of two-dimensional (2D) materials and their extraordinary optical properties, during the last 2-3 years the visualization of both low-loss and electrically tunable (active) plasmons in graphene and high optical quality phonons in monolayer and multilayer h-BN nanostructures have been demonstrated in the mid-infrared spectral range, thus introducing a very encouraging arena for scientifically ground-breaking discoveries in nano-optics.  Inspired by these extraordinary prospects, this ERC project aims to make use of our knowledge and unique expertise in 2D nanoplasmonics, and the recent advances in nanophononics, to establish a technological platform that, including coherent sources, waveguides, routers, and efficient detectors, permits an unprecedented active control and manipulation (at room temperature) of light and light-matter interactions on the nanoscale, thus laying experimentally the foundations of a 2D nano-optics field.","1459219","2017-01-01","2021-12-31"
"2DTHERMS","Design of new thermoelectric devices based on layered and field modulated nanostructures of strongly correlated electron systems","Jose Francisco Rivadulla Fernandez","UNIVERSIDAD DE SANTIAGO DE COMPOSTELA","Design of new thermoelectric devices based on layered and field modulated nanostructures of strongly correlated electron systems","1427190","2010-11-01","2015-10-31"
